,校碼,序號,學校名稱,系組名稱,學測檢定標準,,,,,,英聽檢定標準,採計科目及加權,,,,,,,,,,,,,,,,,,,,,,,
dep_id,,,,,國文,英文,數學A,數學B,社會,自然,,數學甲,物理,化學,生物,歷史,地理,公民,國文,英文,數學A,數學B,社會,自然,,,,,,,,,,,
00212,002,2,國立臺灣師範大學        ,教育心理與輔導學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.25 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00213,002,3,國立臺灣師範大學        ,社會教育學系,前標,,,,前標,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.50 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00207,002,4,國立臺灣師範大學        ,健康促進與衛生教育學系,,,,,,,,1.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00216,002,5,國立臺灣師範大學        ,人類發展與家庭學系家庭生活教育組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.75 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00226,002,6,國立臺灣師範大學        ,人類發展與家庭學系幼兒發展與教育組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,2.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00217,002,7,國立臺灣師範大學        ,公民教育與活動領導學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.25 ,1.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00218,002,8,國立臺灣師範大學        ,特殊教育學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00235,002,9,國立臺灣師範大學        ,學習科學學士學位學程,均標,均標,,,,,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00231,002,10,國立臺灣師範大學        ,教育學院學士班,,,均標,均標,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00208,002,11,國立臺灣師範大學        ,國文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00202,002,12,國立臺灣師範大學        ,英語學系,前標,頂標,,,,,A,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00219,002,13,國立臺灣師範大學        ,歷史學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,1.25 ,1.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00220,002,14,國立臺灣師範大學        ,地理學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,1.00 ,1.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00234,002,15,國立臺灣師範大學        ,臺灣語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,1.50 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00221,002,16,國立臺灣師範大學        ,數學系,,,,,,,,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00209,002,17,國立臺灣師範大學        ,物理學系,,,,,,,,1.50 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00222,002,18,國立臺灣師範大學        ,化學系,,,,,,,,1.00 ,1.50 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00210,002,19,國立臺灣師範大學        ,生命科學系,,,,,,,,1.00 ,0.00 ,1.25 ,1.50 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00211,002,20,國立臺灣師範大學        ,地球科學系,,,,,,,,2.00 ,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00201,002,21,國立臺灣師範大學        ,資訊工程學系,,,,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00227,002,22,國立臺灣師範大學        ,營養科學學士學位學程,,,,,,,,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00230,002,23,國立臺灣師範大學        ,工業教育學系,,,,,,,,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00224,002,24,國立臺灣師範大學        ,科技應用與人力資源發展學系,,,,,,,,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00225,002,25,國立臺灣師範大學        ,圖文傳播學系,,,,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00228,002,26,國立臺灣師範大學        ,機電工程學系,,,,,,,,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00233,002,27,國立臺灣師範大學        ,電機工程學系,,,,,,,,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00237,002,28,國立臺灣師範大學        ,車輛與能源工程學士學位學程,,,,,,,,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00236,002,29,國立臺灣師範大學        ,光電工程學士學位學程,,,,,,,,2.00 ,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00232,002,30,國立臺灣師範大學        ,華語文教學系應用華語文學組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00215,002,31,國立臺灣師範大學        ,東亞學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.50 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00214,002,32,國立臺灣師範大學        ,企業管理學系,,,,前標,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
